"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1628","78","52","1","25","0.0479115479115479",2020-10-06
"Adams","Adams","690","43","28","0","15","0.0623188405797101",2020-10-06
"Allamakee","Allamakee","3015","277","198","8","71","0.0918739635157546",2020-10-06
"Appanoose","Appanoose","2738","157","132","3","22","0.0573411249086925",2020-10-06
"Audubon","Audubon","1274","106","39","1","66","0.0832025117739403",2020-10-06
"Benton","Benton","5732","368","228","1","139","0.0642009769713887",2020-10-06
"Black Hawk","Black Hawk","36617","4664","3978","94","592","0.127372531884098",2020-10-06
"Boone","Boone","6688","562","386","8","168","0.0840311004784689",2020-10-06
"Bremer","Bremer","5608","527","397","7","123","0.0939728958630528",2020-10-06
"Buchanan","Buchanan","4704","320","195","1","124","0.0680272108843537",2020-10-06
"Buena Vista","Buena Vista","9557","2059","1849","12","198","0.215444177043005",2020-10-06
"Butler","Butler","3489","293","264","2","27","0.0839782172542276",2020-10-06
"Calhoun","Calhoun","2730","214","182","3","29","0.0783882783882784",2020-10-06
"Carroll","Carroll","6023","775","494","5","276","0.128673418562178",2020-10-06
"Cass","Cass","2911","194","173","2","19","0.0666437650291996",2020-10-06
"Cedar","Cedar","4121","283","184","2","97","0.0686726522688668",2020-10-06
"Cerro Gordo","Cerro Gordo","11820","1118","895","23","200","0.094585448392555",2020-10-06
"Cherokee","Cherokee","3006","302","150","2","150","0.100465735196274",2020-10-06
"Chickasaw","Chickasaw","2723","292","270","1","21","0.107234667645979",2020-10-06
"Clarke","Clarke","2415","273","239","3","31","0.11304347826087",2020-10-06
"Clay","Clay","4021","381","242","4","135","0.094752549117135",2020-10-06
"Clayton","Clayton","3416","291","254","3","34","0.0851873536299766",2020-10-06
"Clinton","Clinton","10319","1211","928","22","261","0.117356332978002",2020-10-06
"Crawford","Crawford","5447","1160","863","7","290","0.212961263080595",2020-10-06
"Dallas","Dallas","26800","2940","2467","39","434","0.109701492537313",2020-10-06
"Davis","Davis","1397","134","99","4","31","0.0959198282032928",2020-10-06
"Decatur","Decatur","1624","74","50","0","24","0.0455665024630542",2020-10-06
"Delaware","Delaware","4132","512","423","4","85","0.123910939012585",2020-10-06
"Des Moines","Des Moines","9392","898","642","9","247","0.0956132879045997",2020-10-06
"Dickinson","Dickinson","5545","580","434","7","139","0.104598737601443",2020-10-06
"Dubuque","Dubuque","31522","3751","2248","46","1457","0.118996256582704",2020-10-06
"Emmet","Emmet","2302","306","221","10","75","0.132927888792354",2020-10-06
"Fayette","Fayette","4366","255","163","2","90","0.0584058634906092",2020-10-06
