"","EventResidentCounty","Individuals.Tested","Individuals.Positive","Total.Recovered","Total.Deaths","Active","positivity","date"
"Adair","Adair","1748","100","60","1","39","0.05720823798627",2020-10-13
"Adams","Adams","744","55","32","0","23","0.0739247311827957",2020-10-13
"Allamakee","Allamakee","3139","297","225","8","64","0.0946161197833705",2020-10-13
"Appanoose","Appanoose","2910","187","134","3","50","0.0642611683848797",2020-10-13
"Audubon","Audubon","1331","117","47","1","69","0.0879038317054846",2020-10-13
"Benton","Benton","6088","418","264","1","153","0.0686596583442838",2020-10-13
"Black Hawk","Black Hawk","38132","4931","4150","96","685","0.129313962026644",2020-10-13
"Boone","Boone","6996","618","445","8","165","0.088336192109777",2020-10-13
"Bremer","Bremer","5847","569","441","7","121","0.0973148623225586",2020-10-13
"Buchanan","Buchanan","4896","352","214","2","136","0.0718954248366013",2020-10-13
"Buena Vista","Buena Vista","9885","2140","1909","12","219","0.216489630753667",2020-10-13
"Butler","Butler","3648","322","292","2","28","0.0882675438596491",2020-10-13
"Calhoun","Calhoun","2851","242","206","3","33","0.0848824973693441",2020-10-13
"Carroll","Carroll","6445","928","609","6","313","0.143987587276959",2020-10-13
"Cass","Cass","3171","237","196","2","39","0.0747398297067171",2020-10-13
"Cedar","Cedar","4357","307","211","4","92","0.0704613266008722",2020-10-13
"Cerro Gordo","Cerro Gordo","12360","1183","975","23","185","0.0957119741100324",2020-10-13
"Cherokee","Cherokee","3132","335","175","2","158","0.106960408684547",2020-10-13
"Chickasaw","Chickasaw","2809","310","289","1","20","0.110359558561766",2020-10-13
"Clarke","Clarke","2518","291","247","3","41","0.115567911040508",2020-10-13
"Clay","Clay","4244","440","268","4","168","0.103675777568332",2020-10-13
"Clayton","Clayton","3549","319","277","3","39","0.0898844744998591",2020-10-13
"Clinton","Clinton","10829","1282","999","25","258","0.118385815864807",2020-10-13
"Crawford","Crawford","5669","1240","936","11","293","0.218733462691833",2020-10-13
"Dallas","Dallas","28035","3128","2594","40","494","0.111574817192795",2020-10-13
"Davis","Davis","1456","145","109","4","32","0.0995879120879121",2020-10-13
"Decatur","Decatur","1723","103","57","0","46","0.0597794544399304",2020-10-13
"Delaware","Delaware","4331","585","476","7","102","0.135072731470792",2020-10-13
"Des Moines","Des Moines","10093","1020","709","9","302","0.101060140691568",2020-10-13
"Dickinson","Dickinson","5784","635","457","7","171","0.10978561549101",2020-10-13
"Dubuque","Dubuque","33041","4193","2574","50","1569","0.12690293877304",2020-10-13
"Emmet","Emmet","2500","356","235","13","108","0.1424",2020-10-13
"Fayette","Fayette","4558","290","177","2","111","0.063624396665204",2020-10-13
"Floyd","Floyd","4188","395","353","10","32","0.0943170964660936",2020-10-13
"Franklin","Franklin","2736","363","326","18","19","0.132675438596491",2020-10-13
"Fremont","Fremont","1424","165","76","0","89","0.115870786516854",2020-10-13
"Greene","Greene","2325","152","83","0","69","0.0653763440860215",2020-10-13
"Grundy","Grundy","3033","256","193","4","59","0.0844048796571052",2020-10-13
"Guthrie","Guthrie","2982","341","204","13","124","0.114352783366868",2020-10-13
"Hamilton","Hamilton","4019","391","328","3","60","0.0972878825578502",2020-10-13
"Hancock","Hancock","2833","250","213","4","33","0.0882456759618779",2020-10-13
"Hardin","Hardin","4207","377","283","4","90","0.089612550511053",2020-10-13
"Harrison","Harrison","3312","461","195","5","261","0.139190821256039",2020-10-13
"Henry","Henry","5722","918","635","5","278","0.160433414889899",2020-10-13
"Howard","Howard","2253","214","172","7","35","0.0949844651575677",2020-10-13
"Humboldt","Humboldt","2533","250","205","3","42","0.0986971969996052",2020-10-13
"Ida","Ida","1665","161","81","2","78","0.0966966966966967",2020-10-13
"Iowa","Iowa","4390","324","172","2","150","0.0738041002277904",2020-10-13
"Jackson","Jackson","4406","456","284","3","169","0.103495233772129",2020-10-13
"Jasper","Jasper","8928","968","688","35","245","0.1084229390681",2020-10-13
